playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8479580,2022,Dylan Gambrell,OTT,C,4on5,57,6940,185,3.93,0.15,0.11,0.14,0.15,0.16,0.17,167,3.09,0.04,0.06,0.29,0.08,0.78,2.76,0.04,0.04,0.04,2,0,3,1,0,4,2,0,1,0,0,0,0,3,3,4,1,2,12,0,3,2,4,0,0,0.04,0,0,0,0,0,4,4,4,2,0.01,0.04,0,0.06,0.06,0.06,185,3,22,16,144,7,33,31,114,12,1,12435,2,0,0,0,19,2.02,1.97,2.02,1.97,23,3,4,30,2,3,0,18,4,4,0.48,0.49,1.05,0,1,1,30,26,26,0.24,0.54,0.54,1.72,1.72,1.69,96.38,11.02,10.42,11.02,10.42,89,44,46,179,14,8,1,96,24,13,2.45,3.17,5.4,3,3,8,179,133,133,2.26,1.26,1.26,12.02,12.02,11.67,3.33,25.87,64,357,0.1,0.18,4,2,3,2
8479580,2022,Dylan Gambrell,OTT,C,5on4,57,49,8,-1.86,0,0.83,0,0.81,0,0.81,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,6,0,0,2,6,2,2,2949,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.17,0.17,0.17,0.17,1,0,0,1,1,0,0,0,1,0,0,0.17,0,0,1,0,1,1,1,0.01,0,0,0.18,0.18,0.18,9.46,1.88,96,22,0,0,0,0,0,0
8479671,2022,Mathieu Olivier,CBJ,R,other,66,562,7,3.47,0.53,0.6,0.19,0.38,0.23,0.4,104,0.87,0.11,0.1,0.08,0.02,0.55,0.14,0.11,0.11,0.11,1,1,0,1,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.11,0,0,0,0,2,1,1,0,0.03,0,0,0.14,0.14,0.14,7,0,1,0,6,0,3,1,3,0,1,2878,0,0,0,3,3.71,1.97,1.86,1.97,1.86,4,1,2,7,3,0,0,0,2,3,0,0.23,1.74,0,0,3,7,5,5,0.07,0,0,2.04,2.04,1.92,12.26,1.73,1.61,1.73,1.61,12,5,12,29,1,0,0,10,3,4,0.48,0.32,0.93,1,0,0,29,17,17,0.35,0,0,2.09,2.09,1.94,11.04,7.39,44,73,0,0,0,0,0,0
8479671,2022,Mathieu Olivier,CBJ,R,all,66,46056,1041,3.56,0.44,0.45,0.41,0.47,0.42,0.47,647,82.69,9.26,6.68,19,2.62,40.67,29.78,8.72,9.25,8.72,7,3,75,33,31,139,15,5,12,1,10,1,44,36,70,103,27,81,2,178,17,8,65,31,12,2.12,3.85,3.29,2,2,1,136.89,108,106.91,3,1.42,2.31,2.86,7.82,7.78,7.64,1041,85,211,220,525,192,176,156,517,2,13,193663,81,61,17,58,343.49,32.94,31.22,32.64,30.97,339,131,153,623,24,48,2,332,97,41,9.03,11.75,12.15,6,12,6,610.65,470,463.17,5.05,9.7,9.7,28.29,28.01,27.3,478.21,41.96,40.04,42.52,40.59,489,171,241,901,49,43,6,490,121,49,13.61,15.09,13.26,25,16,8,923.42,660,672.86,7.23,9.36,9.59,39.6,40.16,39.09,160.46,195.29,3087,3454,0,0,0,0,0,0
8479671,2022,Mathieu Olivier,CBJ,R,5on5,66,43211,957,3.56,0.45,0.44,0.43,0.46,0.43,0.46,558,80.22,8.96,6.48,18.74,2.56,39.69,28.58,8.42,8.95,8.42,6,2,73,32,29,134,13,5,12,1,9,1,43,35,68,100,26,79,1,177,16,8,64,29,12,2.11,3.57,3.29,2,2,1,131.89,105,103.91,3,1.37,2.31,2.86,7.47,7.42,7.29,957,82,197,212,466,184,152,141,480,1,10,155209,79,61,17,52,333.64,30.38,28.78,30.09,28.52,330,127,150,607,21,48,2,326,94,37,8.83,11.35,10.21,6,12,3,594.65,457,450.17,4.91,9.7,9.7,25.6,25.32,24.72,434.14,37.56,35.85,38.12,36.4,445,154,215,814,43,41,6,451,106,42,12.66,13.41,11.49,23,14,6,836.42,599,611.86,6.11,9.06,9.29,34.38,34.94,34.08,103.93,132,2355,2738,0.77,0.52,23,17,21,14
8479671,2022,Mathieu Olivier,CBJ,R,4on5,66,2234,69,0.74,0.18,0.17,0.13,0.16,0.15,0.16,202,1.6,0.19,0.1,0.19,0.03,0.43,1.06,0.19,0.19,0.19,0,0,2,0,1,3,0,0,0,0,1,0,0,1,2,2,0,0,1,0,1,0,1,1,0,0.02,0.17,0,0,0,0,3,2,2,0,0.02,0,0,0.21,0.21,0.21,69,2,11,8,48,6,18,14,31,1,0,10232,0,0,0,0,6.13,0.59,0.59,0.59,0.59,5,3,1,9,0,0,0,6,1,1,0.2,0.17,0.21,0,0,0,9,8,8,0.07,0,0,0.66,0.66,0.66,31.82,2.67,2.58,2.67,2.58,32,12,14,58,5,2,0,29,12,3,0.47,1.36,0.84,1,2,2,58,44,44,0.77,0.3,0.3,3.14,3.14,3.07,4.17,20.01,56,304,0,0,0,0,0,0
8479671,2022,Mathieu Olivier,CBJ,R,5on4,66,49,8,-3.07,0,0.82,0,0.86,0,0.89,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,5,2,3,0,3,0,0,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0.86,68,11,0,0,0,0,0,0
8478975,2022,Mason Marchment,DAL,L,other,67,1504,30,9.5,0.72,0.58,0.51,0.56,0.55,0.54,145,5.28,2.95,0.26,0.45,0.16,2.29,1.89,2.95,2.95,2.95,0,0,4,4,3,11,2,2,2,0,0,0,0,4,2,6,0,0,0,0,4,2,1,1,6,0.03,0.1,2.82,0,0,2,11,8,8,1,0.08,0.49,0,3.02,3.02,3.02,30,9,5,0,16,8,2,6,14,0,1,3406,0,0,0,1,19.31,6.6,6.49,6.6,6.49,19,9,5,33,6,3,0,12,4,12,0.45,0.51,5.65,2,0,4,33,28,28,0.38,0.6,0.6,6.38,6.38,6.36,17.13,2.61,2.49,2.61,2.49,18,5,9,32,4,2,2,11,9,3,0.5,1.14,0.97,1,1,2,32,23,23,0.35,0.54,0.54,2.41,2.41,2.36,13.35,9.62,101,79,0,0,1,0,0,0
8478975,2022,Mason Marchment,DAL,L,all,67,63228,1344,31.25,0.57,0.54,0.53,0.51,0.53,0.5,364,154.17,18.75,10.67,33.74,5.14,81.77,58.93,18.14,19.05,18.43,13,6,148,61,53,262,31,12,18,1,23,9,54,93,136,197,27,60,10,88,38,41,141,45,23,4.36,5.69,8.69,5,3,4,268.51,209,212.96,10,2.36,3.63,3.95,17.16,17.49,17.15,1344,197,135,190,822,223,192,187,742,10,15,181658,60,60,26,39,595.83,58.13,55.75,59.03,56.61,578,248,272,1098,47,57,2,614,150,62,17.65,18.75,21.75,18,12,17,1120.44,826,839.04,8.8,10.9,10.6,56.34,57.18,56.01,530.92,43.46,42.3,43.02,41.87,543,188,251,982,44,39,5,546,151,34,15.53,18.63,9.3,17,19,8,968.57,731,723.71,7.13,7.31,7.39,43.2,42.72,42.11,175.64,147.12,3045,2896,0,0,0,0,0,0
8478975,2022,Mason Marchment,DAL,L,5on5,67,55441,1175,31.25,0.49,0.54,0.49,0.52,0.49,0.51,255,120.11,10.7,7.87,27.32,3.98,64.67,48.46,10.34,11.01,10.63,9,6,116,47,45,208,23,8,12,0,19,7,41,76,108,155,23,52,6,85,34,36,117,37,9,3.93,4.62,2.16,5,3,0,214.51,163,166.96,9,1.64,2.12,1.75,10.59,10.91,10.7,1175,151,123,185,716,178,182,163,652,6,10,142032,52,58,25,37,470.56,38.07,36.54,38.96,37.39,451,203,226,880,31,38,1,499,121,34,14.54,14.84,8.69,14,11,6,902.44,654,667.04,6.25,6.42,6.55,37.76,38.61,37.89,494.31,38.92,37.9,38.47,37.47,500,181,235,916,39,37,3,515,137,29,14.31,16.87,7.74,15,18,6,902.57,681,673.71,6.53,6.77,6.77,38.67,38.19,37.66,107.49,92.88,2345,2131,1.54,1.14,38,29,28,23
